Bank Code,Bank Full Name,Year,Classification,Number of Employees,Number of Branches,Labour productivity,Network productivity,Employees Ratio,Branches Ratio,Total Deposits,Total Shareholder's Equity,Total Loans,Loan Loss Provisions  ,Non-performing Loans  ,Total Fixed Assets,Liquid Assets,Total Assets,Total Deposits Ratio,Total Loans Ratio,Total Assets Ratio,Interest Expenses,Non-Interest Expenses,Personnel Expenses,Occupancy Expenses,Other Expenses,Total Operating Expenses,Core Cost,Total Cost,Core Cost Ratio,Total Cost Ratio,Interest Incomes,Non-Interest Income,Other Incomes,Total Income,Total Income Ratio,Equity Over Total Assets,Equity Over Total Deposits,Non-performing Loans Ratio,Loan Loss Provisions Ratio,Returns Over Assets,Returns Over Equity,Net Interest Margin,Cost-Income Ratios,Liquid Assets Over Total Assets,Liquid Assets Over Total Deposits,Cumulative Gaps Over Total Assets,Off-balance Sheet Activities,Profits Before Tax,Profits After Tax
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2007,JSCB,523,10,242.61,12688.7,0.01,0,2804869,2178409,4183503,8083,21048,343948,7839990,12367441,0,0,0.01,306113,75733,31595,4936,37054,73585,342644,381846,0,0,395574,175023,-12518,558079,0,17.61,77.67,0.5,0.19,1.03,5.82,1.14,68.42,63.39,279.51,-39.69,10759,176233,126887
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2008,JSCB,844,57,230.77,3417.02,0.01,0,9508142,2266655,6252699,25541,117954,823991,7304620,14381310,0.01,0.01,0.01,1132570,199822,85398,10528,94610,190536,1228496,1332392,0.01,0.01,1293370,326273,-17890,1601753,0.01,15.76,23.84,1.89,0.41,1.35,8.59,2.2,83.18,50.79,76.82,30.3,37274,269361,194770
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2009,JSCB,1341,95,237.44,3351.63,0.01,0,14672147,2417045,12828748,127084,358196,853627,13786822,27469197,0.01,0.01,0.01,1018747,360516,143449,17996,178688,340133,1180192,1379263,0.01,0.01,1662188,236934,-104669,1794453,0.01,8.8,16.47,2.79,0.99,1.16,13.17,4.67,76.86,50.19,93.97,-4.14,1212349,415190,318405
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2010,JSCB,2022,116,244.48,4261.46,0.01,0,25633644,4183214,24375588,272556,340931,1526154,25131119,51032861,0.01,0.01,0.01,2520683,714710,279833,21465,378286,679584,2821981,3235393,0.01,0.01,3736848,305121,-149843,3892126,0.01,8.2,16.32,1.4,1.12,0.97,11.82,4.84,83.13,49.24,98.04,2.99,1269565,656733,494329
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2011,JSCB,2840,158,265.15,4766.01,0.02,0.01,34785614,5830868,29161851,354967,651413,2254983,39572708,70989542,0.02,0.01,0.02,5883524,1165343,510879,47318,567639,1125836,6441721,7048867,0.02,0.02,7781058,370307,-101536,8049829,0.02,8.21,16.76,2.23,1.22,1.06,12.91,4.8,87.57,55.74,113.76,2.43,3208806,1000962,753029
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2012,JSCB,,,,,,,77598520,9506050,56939724,1250431,5014467,4127127,55470763,116537614,0.03,0.02,0.03,8075961,1752844,732037,80921,866035,1678993,8888919,9828805,0.03,0.03,9951489,1137779,564740,11654008,0.03,8.16,12.25,8.81,2.2,1.45,17.75,3.38,84.34,47.6,71.48,30.54,5287168,1825203,1687269
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2013,JSCB,5002,,169.89,,0.03,,90761017,10355697,76509671,1187621,3897525,4151534,62964598,143625803,0.03,0.03,0.03,7070660,1975842,758215,110462,992193,1860870,7939337,9046502,0.03,0.03,9174718,378951,492881,10046550,0.03,7.21,11.41,5.09,1.55,0.59,8.21,3.34,90.05,43.84,69.37,30.34,8338670,1000048,849770
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2014,JSCB,5553,,142.4,,0.03,,123227619,10480064,104095714,1047248,2107674,4105750,60834082,169035546,0.03,0.03,0.03,7586884,1900249,882755,118397,623201,1624353,8588036,9487133,0.03,0.03,10312849,807264,-620632,10499481,0.03,6.2,8.5,2.02,1.01,0.47,7.55,4.48,90.36,35.99,49.37,41.48,13913685,1012348,790747
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2015,JSCB,6083,,130.72,,0.03,,148828876,11255041,131427193,1421386,2262675,4056266,69220681,204704140,0.03,0.03,0.03,8295644,2301598,1217053,120727,740860,2078640,9633424,10597242,0.03,0.03,11991798,464624,-842126,11614296,0.03,5.5,7.56,1.72,1.08,0.39,7.06,5.34,91.24,33.81,46.51,43.21,29106776,1017054,795156
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2016,JSCB,,,,,,,166576217,13229267,162376185,1797385,,3962052,74414452,240752689,0.03,0.03,0.03,10393205,459970,,,,,10393205,10853175,0.03,0.03,14568653,1250633,-1301913,14517373,0.03,5.49,7.94,,1.11,1.42,25.86,5.61,74.76,30.91,44.67,37.99,,3664198,3420820
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2017,JSCB,,,,,,,194889770,14691220,198290566,2849015,,3952317,83767198,286010081,0.03,0.04,0.03,13423554,291791,,,,,13423554,13715345,0.03,0.03,18220214,1947295,-1629956,18537553,0.03,5.14,7.54,,1.44,1.55,30.2,5.73,73.99,29.29,42.98,35.79,,4822208,4436025
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2018,JSCB,7546,255,221.62,6558.11,0.03,0.03,225224141,16332532,216988881,3002229,-3002229,4792434,101494693,323276008,0.03,0.04,0.04,17085464,3452911,1836453,424756,961582,3222791,19346673,20538375,0.04,0.04,22641366,1415953,-1425091,22632228,0.03,5.05,7.25,-1.38,1.38,0.52,10.24,5.47,90.75,31.4,45.06,37.01,,2093853,1672319
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2019,JSCB,8216,272,294.29,8889.3,0.03,0.03,259236746,18507443,265161676,3130469,-3130469,4817506,95275136,365254318,0.03,0.04,0.03,19852265,4277872,2305011,504694,1142027,3951732,22661970,24130137,0.04,0.04,27682704,1884737,-2410964,27156477,0.03,5.07,7.14,-1.18,1.18,0.66,13.06,8.22,88.86,26.08,36.75,44.55,,3026340,2417890
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2020,JSCB,8435,264,309.07,9875.05,0.03,0.03,303581729,24036220,305637310,3438254,-3438254,4866063,102176220,412679593,0.03,0.04,0.04,21353921,4629757,2705535,66779,1526875,4299189,24126235,25983678,0.04,0.04,31287120,2604780,-4640222,29251678,0.03,5.82,7.92,-1.12,1.12,0.63,10.85,9.72,88.83,24.76,33.66,51.58,,3268000,2607012
SHB,Saigon – Hanoi Commercial Joint Stock Bank,2021,JSCB,8535,271,586.66,18476.61,0.03,0.03,327196828,35531665,362416124,4637516,-4637516,4978978,139209226,506604328,0.04,0.05,0.05,20035980,5001561,3048550,77124,1280267,4405941,23161654,25037541,0.05,0.05,35606329,3178289,-7487035,31297583,0.04,7.01,10.86,-1.28,1.28,0.99,14.09,11.18,80,27.48,42.55,40.06,,6260042,5007161
