Bank Code,Bank Full Name,Year,Classification,Number of Employees,Number of Branches,Labour productivity,Network productivity,Employees Ratio,Branches Ratio,Total Deposits,Total Shareholder's Equity,Total Loans,Loan Loss Provisions  ,Non-performing Loans  ,Total Fixed Assets,Liquid Assets,Total Assets,Total Deposits Ratio,Total Loans Ratio,Total Assets Ratio,Interest Expenses,Non-Interest Expenses,Personnel Expenses,Occupancy Expenses,Other Expenses,Total Operating Expenses,Core Cost,Total Cost,Core Cost Ratio,Total Cost Ratio,Interest Incomes,Non-Interest Income,Other Incomes,Total Income,Total Income Ratio,Equity Over Total Assets,Equity Over Total Deposits,Non-performing Loans Ratio,Loan Loss Provisions Ratio,Returns Over Assets,Returns Over Equity,Net Interest Margin,Cost-Income Ratios,Liquid Assets Over Total Assets,Liquid Assets Over Total Deposits,Cumulative Gaps Over Total Assets,Off-balance Sheet Activities,Profits Before Tax,Profits After Tax
ACB,Asia Commercial Joint Stock Bank,2010,JSCB,7255,280,160.65,4162.49,0.05,0,106936611,11376757,87195105,716697,292806,1054702,116853143,205102950,0.05,0.04,0.06,10796566,3596847,970747,198549,2160020,3329316,11965862,14393413,0.05,0.06,14960336,1593439,-227410,16326365,0.05,5.55,10.64,0.34,0.82,0.57,10.24,3.56,88.16,56.97,109.27,3.04,32963157,1932952,1165498
ACB,Asia Commercial Joint Stock Bank,2011,JSCB,8613,325,162.81,4314.79,0.05,0.02,142218091,11959092,102809156,986436,917967,1236987,176973176,281019319,0.06,0.04,0.07,18853380,5470331,1574327,231207,3147466,4953000,20658914,24323711,0.06,0.06,25460938,1556308,-296376,26720870,0.06,4.26,8.41,0.89,0.96,0.5,11.73,3.73,91.03,62.98,124.44,20.37,31332076,2397159,1402307
ACB,Asia Commercial Joint Stock Bank,2012,JSCB,10275,347,76.31,2259.48,0.06,0.02,125233595,12624452,102814848,1502082,2570970,1473454,72019305,176307607,0.04,0.04,0.04,15398127,4580822,1884580,748912,1637169,4270661,18031619,19978949,0.05,0.05,22269055,-726039,-521391,21021625,0.05,7.16,10.08,2.5,1.46,0.44,6.21,9.54,95.04,40.85,57.51,41.18,7271188,1042676,784040
ACB,Asia Commercial Joint Stock Bank,2013,JSCB,9131,350,90.52,2361.41,0.05,0.02,138110836,12504202,107190021,1547983,3242869,2552768,56856200,166598989,0.04,0.04,0.03,10818660,4030558,1554218,705808,1499371,3759397,13078686,14849218,0.04,0.04,15205073,1534335,-854630,15884778,0.04,7.51,9.05,3.03,1.44,0.5,6.61,7.71,93.48,34.13,41.17,54.4,7244078,1035560,826493
ACB,Asia Commercial Joint Stock Bank,2014,JSCB,9296,345,102.39,2758.85,0.05,0.02,154613588,12397303,116324055,1578804,2533248,2804555,60481161,179609771,0.04,0.04,0.03,8937199,4131822,1741228,718006,1364807,3824041,11396433,13069021,0.04,0.04,13702832,1460904,-879314,14284422,0.04,6.9,8.02,2.18,1.36,0.53,7.68,7.88,91.49,33.67,39.12,56.87,9548240,1215401,951802
ACB,Asia Commercial Joint Stock Bank,2015,JSCB,9935,345,103.5,2980.38,0.05,0.06,174918997,12787542,134031804,1540817,1770693,2479567,64945614,201456985,0.04,0.03,0.03,8198265,4330474,1998639,811934,1211110,4021683,11008838,12528739,0.04,0.04,14081792,645553,-884455,13842890,0.04,6.35,7.31,1.32,1.15,0.51,8.04,9.06,90.51,32.24,37.13,63.52,18785438,1314151,1028232
ACB,Asia Commercial Joint Stock Bank,2016,JSCB,9822,,134.98,,0.06,,207051269,14062716,161604426,1796795,1420547,2850558,69225893,233680877,0.04,0.03,0.03,9556360,5018719,2309184,952575,1416130,4677889,12818119,14575079,0.04,0.04,16448249,1011443,-1217587,16242105,0.04,6.02,6.79,0.88,1.11,0.57,9.43,9.96,89.74,29.62,33.43,66.31,,1667026,1325727
ACB,Asia Commercial Joint Stock Bank,2017,JSCB,10334,,204.97,,0.05,,241392932,16030847,196668756,1844638,1389619,3007618,84639749,284316123,0.04,0.04,0.03,11861885,6664493,2668747,1038298,2510314,6217359,15568930,18526378,0.04,0.04,20319639,3428289,-2565343,21182585,0.04,5.64,6.64,0.71,0.94,0.74,13.21,9.99,87.46,29.77,35.06,57.42,,2656207,2118131
ACB,Asia Commercial Joint Stock Bank,2018,JSCB,10679,359,481.04,14309.34,0.04,0.04,269998503,21017899,227983048,2544172,1674978,3233388,98116805,329333241,0.04,0.04,0.04,13652442,7446821,3220676,306996,3184545,6712217,17180114,21099263,0.04,0.04,24015362,4404884,-932411,27487835,0.04,6.38,7.78,0.73,1.12,1.56,24.44,10.56,76.76,29.79,36.34,66.8,46009686,6388572,5137054
ACB,Asia Commercial Joint Stock Bank,2019,JSCB,11168,370,528.1,15939.94,0.04,0.04,310000000,28000000,270000000,2535689,1449352,3770219,106229781,380000000,0.04,0.04,0.04,16000000,9165917,3763241,345522,4198833,8307596,20108763,25165917,0.04,0.04,28000000,4843514,-273821,32569693,0.04,7.37,9.03,0.54,0.94,1.55,21.06,11.3,77.27,27.96,34.27,72,56633134,7403776,5897777
ACB,Asia Commercial Joint Stock Bank,2020,JSCB,11272,372,681.58,20652.75,0.04,0.04,353000000,35448163,309000000,2950364,1840384,3782753,132217247,445000000,0.04,0.04,0.04,17273625,8948907,4337109,373102,2914057,7624268,21983836,26222532,0.04,0.04,31855748,4903825,-941153,35818420,0.04,7.97,10.04,0.6,0.95,1.73,21.67,11.03,73.21,29.71,37.46,68.98,74503292,9595888,7682823
ACB,Asia Commercial Joint Stock Bank,2021,JSCB,12112,372,792.83,25813.84,0.05,0.04,379920669,44900909,356050950,5861588,2799364,3762548,167956446,527769944,0.05,0.05,0.05,14769018,9925969,5128784,374435,2726557,8229776,20272237,24694987,0.05,0.05,33713810,6315399,-3336109,36693100,0.05,8.51,11.82,0.79,1.65,1.82,21.39,11.28,67.3,31.82,44.21,63.2,94814083,11998113,9602747
ACB,Asia Commercial Joint Stock Bank,2022,JSCB,13035,372,1050.11,36796.22,0.05,0.04,413952789,58438663,413706244,4849736,3044915,3981376,190187565,607875185,0.04,0.04,0.04,17165305,13257160,6069294,367440,5168311,11605045,23602039,30422465,0.04,0.05,40698834,6908653,-70814,47536673,0.05,9.61,14.12,0.74,1.17,2.25,23.42,12.37,64,31.29,45.94,67.29,80948705,17114208,13688193
AGB,Vietnam Bank for Agriculture and Rural Development,2002,SOCB,,,,,,,42838237,-370195,70278272,,,1286840,20009604,91574716,0.21,0.34,0.28,,,,,,,,,,,,,,,,-0.4,-0.86,,,-0.25,60.71,,,21.85,46.71,31.94,,,-224746
AGB,Vietnam Bank for Agriculture and Rural Development,2003,SOCB,27361,1728,-40.68,-644.11,0.64,0.73,71912683,126135,99205174,7693332,711623,1690980,21860437,122756591,0.25,0.36,0.28,5132503,2545666,,,2506812,2506812,5132503,7678169,0.28,0.34,9032860,831516,-2872692,6991684,0.29,0.1,0.18,0.72,7.75,-0.91,-882.41,17.84,109.82,17.81,30.4,30.68,,-686485,-1113030
AGB,Vietnam Bank for Agriculture and Rural Development,2004,SOCB,28403,1881,-10.5,-158.48,0.54,0.71,92212207,483619,129204040,,2248150,2201175,30351954,161757169,0.25,0.34,0.28,7018834,3471457,,,3406956,3406956,7018834,10490291,0.3,0.35,12392386,759042,-2546384,10605044,0.32,0.3,0.52,1.74,,-0.18,-61.64,17.7,98.92,18.76,32.92,23.63,,114753,-298100
AGB,Vietnam Bank for Agriculture and Rural Development,2005,SOCB,29429,2000,9.86,145.04,0.43,0.56,120162398,781031,151655218,,3488070,2531559,38132721,192319498,0.24,0.32,0.26,9285449,4730839,,,4657124,4657124,9285449,14016288,0.29,0.35,16222274,1291820,-3106993,14407101,0.31,0.41,0.65,2.3,,0.15,37.14,18.19,97.29,19.83,31.73,34.11,,390813,290087
AGB,Vietnam Bank for Agriculture and Rural Development,2006,SOCB,29429,2000,37.61,553.46,0.41,0.5,160396533,2562745,181252956,,3443806,2023064,55219206,238495226,0.26,0.31,0.24,13167755,5189096,2314829,475523,2398744,5189096,15958107,18356851,0.3,0.3,22300210,1046588,-3536065,19810733,0.28,1.07,1.6,1.9,,0.46,43.19,16.54,92.66,23.15,34.43,42.29,,1453882,1106921
AGB,Vietnam Bank for Agriculture and Rural Development,2007,SOCB,31000,2200,145.65,2052.4,0.31,0.53,233638843,10451173,246188332,,6154708,2546211,72709597,321444140,0.25,0.28,0.21,17137863,7729845,4372070,662618,2695157,7729845,22172551,24867708,0.28,0.27,29055125,945001,23089,30023215,0.27,3.25,4.47,2.5,,1.4,43.2,16.39,82.83,22.62,31.12,50.75,,5155507,4515271
AGB,Vietnam Bank for Agriculture and Rural Development,2008,SOCB,33967,2200,97.72,1508.73,0.27,0.01,299954030,17613122,294523096,5582269,7823385,3938566,102023521,400485183,0.25,0.27,0.21,30579995,9801905,5754280,635349,3412276,9801905,36969624,40381900,0.25,0.25,45018970,1814464,-2485896,44347538,0.24,4.4,5.87,2.66,1.9,0.83,18.85,14.15,91.06,25.47,34.01,51.98,,3965638,3319214
AGB,Vietnam Bank for Agriculture and Rural Development,2009,SOCB,35135,2313,52.08,791.04,0.25,0.01,339255009,11636366,372308615,6356843,9405233,4431868,98598492,475338975,0.22,0.24,0.18,31756976,10613512,4907936,834672,3700265,9442873,37499584,42370488,0.25,0.25,43246817,6809154,-4891641,45164330,0.22,2.45,3.43,2.53,1.71,0.38,15.72,11.65,93.81,20.74,29.06,46.99,,2793842,1829680
AGB,Vietnam Bank for Agriculture and Rural Development,2010,SOCB,37500,2313,68.48,1110.31,0.24,0.01,389890718,24749029,422393790,,15839767,5275762,103043703,530713255,0.19,0.21,0.15,38265172,13073873,7701132,908683,4464058,13073873,46874987,51339045,0.2,0.2,55826970,2117496,-3125146,54819320,0.18,4.66,6.35,3.75,,0.48,10.38,17.04,93.65,19.42,26.43,60.97,,3480275,2568155
AGB,Vietnam Bank for Agriculture and Rural Development,2011,SOCB,39950,2400,57.07,949.95,0.23,0.13,406677306,26491809,440895421,,17542435,580703,114793759,556269883,0.18,0.19,0.13,50495563,17493724,10292535,982325,5190080,16464940,61770423,67989287,0.17,0.17,77222886,5836665,-11556338,71503213,0.16,4.76,6.51,3.98,,0.41,8.61,23.28,95.09,20.64,28.23,58.76,,3513926,2279872
AGB,Vietnam Bank for Agriculture and Rural Development,2012,SOCB,37945,2275,65.34,1089.85,0.21,0.12,502012284,34519615,480616369,,,620423,133709749,614946541,0.18,0.18,0.14,47117661,17438009,10113650,993595,5433300,16540545,58224906,64555670,0.17,0.17,72510098,5940199,-9790031,68660266,0.16,5.61,6.88,,,0.4,7.18,18.99,94.02,21.74,26.63,66.9,,4104596,2479398
AGB,Vietnam Bank for Agriculture and Rural Development,2013,SOCB,38445,2277,43.66,737.24,0.21,0.12,568691890,37767003,536788478,18008901,12624213,6969609,153382859,697140946,0.17,0.18,0.14,38315846,16256530,8124236,1037111,5991058,15152405,47477193,54572376,0.16,0.16,58976961,6053616,-8001421,57029156,0.15,5.42,6.64,2.35,3.35,0.24,4.44,13.47,95.69,22,26.97,66.29,,2456780,1678685
AGB,Vietnam Bank for Agriculture and Rural Development,2014,SOCB,38240,2259,46.73,791.05,0.21,0.13,656271081,41181159,558658784,15307034,15307034,7345032,197585981,763589797,0.17,0.17,0.14,36197321,16775044,8142298,1035200,5720285,14897783,45374819,52972365,0.16,0.16,57616105,6195401,-8310735,55500771,0.15,5.39,6.28,2.74,2.74,0.23,4.34,10.84,95.44,25.88,30.11,68.74,,2528406,1786993
AGB,Vietnam Bank for Agriculture and Rural Development,2015,SOCB,37609,2248,63.09,1055.49,0.2,0.37,763361419,42508067,630478892,12364807,12364807,7456864,236871571,874807327,0.17,0.16,0.14,32917854,18005192,9196214,2444176,4365710,16006100,44558244,50923046,0.16,0.15,57570547,8183531,-11647754,54106324,0.14,4.86,5.57,1.96,1.96,0.27,5.58,10.41,94.12,27.08,31.03,70.78,,3183278,2372751
AGB,Vietnam Bank for Agriculture and Rural Development,2016,SOCB,37609,,79.5,,0.23,,866084070,44325490,749091083,15769461,15474301,8034051,245338101,1002463235,0.16,0.16,0.14,39829781,20549209,10494123,2748262,5168036,18410421,53072166,60378990,0.16,0.16,68167713,9225463,-13133029,64260147,0.14,4.42,5.12,2.07,2.11,0.3,6.74,11.55,93.96,24.47,28.33,70.29,,3881157,2989740
AGB,Vietnam Bank for Agriculture and Rural Development,2017,SOCB,37828,,103.93,,0.18,,1007694065,48528603,880396143,15934984,18000262,8294711,264213286,1152904140,0.16,0.16,0.13,46245007,21927823,11507027,2938559,5057146,19502732,60690593,68172830,0.15,0.15,80266508,11394838,-18503027,73158319,0.13,4.21,4.82,2.04,1.81,0.34,8.1,12.88,93.19,22.92,26.22,73.83,,4985489,3931333
AGB,Vietnam Bank for Agriculture and Rural Development,2018,SOCB,37860,2240,103.84,1755.06,0.14,0.27,1008000000,48528603,864461159,15934984,16083333,8294711,280244130,1153000000,0.15,0.14,0.13,46245007,21927823,14530020,1209486,3763226,19502732,61984513,68172830,0.13,0.12,80266508,11394838,-18503027,73158319,0.11,4.21,4.81,1.86,1.84,0.34,8.1,12.14,93.19,24.31,27.8,78.26,,4985489,3931332
AGB,Vietnam Bank for Agriculture and Rural Development,2019,SOCB,39231,2237,145.01,2543.03,0.14,0.22,1100000000,58000000,990000000,14000000,17845879,9155963,300844037,1300000000,0.14,0.14,0.12,53000000,26992716,13940871,1392521,8666608,24000000,68333392,79992716,0.13,0.13,94000000,15257435,-22000000,87257435,0.11,4.46,5.27,1.8,1.41,0.44,9.81,13.63,91.67,23.14,27.35,78.92,,7264719,5688761
AGB,Vietnam Bank for Agriculture and Rural Development,2020,SOCB,39003,2233,288.38,5037.07,0.13,0.22,1269373071,69241797,1103625415,19777989,21526948,9670294,339085158,1452380867,0.15,0.14,0.12,63807119,27958581,14036177,1567096,8990828,24594101,79410392,91765700,0.14,0.14,106467763,19985153,-20570686,105882230,0.12,4.77,5.45,1.95,1.79,0.77,16.24,12.58,86.67,23.35,26.71,78.57,,14116530,11247778
AGB,Vietnam Bank for Agriculture and Rural Development,2021,SOCB,37564,2233,975.24,16405.74,0.15,0.26,1404875777,73084295,1189500756,24457489,24428821,10410433,368215724,1568126913,0.17,0.15,0.14,68625103,3463192,,,,,68625103,72088295,0.16,0.14,112285726,17855004,-18732286,111408444,0.15,4.66,5.2,2.05,2.06,2.34,50.13,11.86,64.71,23.48,26.21,80.88,,39320149,36634012
AGB,Vietnam Bank for Agriculture and Rural Development,2022,SOCB,39699,2300,454.5,7844.78,0.14,0.27,1623935082,86997553,1444801761,36835702,26064278,10801834,419235560,1874839155,0.17,0.15,0.13,67847444,33512121,16138750,1719713,10291553,28150016,85705907,101359565,0.16,0.15,128036986,23033124,-27171920,123898190,0.13,4.64,5.36,1.8,2.55,0.96,20.74,14.36,81.81,22.36,25.82,84.86,192121478,22538625,18043000
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2002,SOCB,,,,,,,46114650,1658303,56050417,3530098,3530098,486077,14265217,70801711,0.23,0.27,0.21,2646210,650166,311111,64649,245927,621687,3021970,3296376,0.32,0.32,4072185,191203,-693279,3570109,0.31,2.34,3.6,6.3,6.3,0.04,1.63,10,92.33,20.15,30.93,60.46,17370200,273733,27060
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2003,SOCB,7250,202,3.64,130.67,0.17,0.09,59909784,3083843,63758459,4585205,17687439,590568,21502551,85851578,0.21,0.23,0.2,3590777,714397,271719,71610,318611,661940,3934106,4305174,0.21,0.19,4914601,652200,-1110186,4456615,0.19,3.59,5.15,27.74,7.19,0.03,0.86,6.16,96.6,25.05,35.89,46.82,15550247,151441,26395
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2004,SOCB,8483,221,4.52,173.48,0.16,0.08,67262449,3061921,72430175,5185789,23999678,830662,26398697,99659534,0.18,0.19,0.17,3853864,1009211,419049,148429,399014,966492,4421342,4863075,0.19,0.16,5760703,1231010,-1906352,5085361,0.16,3.07,4.55,33.13,7.16,0.04,1.25,7.22,95.63,26.49,39.25,47.88,16273222,222286,38338
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2005,SOCB,9000,236,62.22,2372.85,0.13,0.07,85746724,3149720,85434376,6051254,23844147,1041115,31500292,117975783,0.17,0.18,0.16,4679014,1380106,530649,161196,633932,1325777,5370859,6059120,0.17,0.15,7608382,1223304,-2031687,6799999,0.15,2.67,3.67,27.91,7.08,0.47,17.78,9.3,89.1,26.7,36.74,52.73,23026692,740879,559993
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2006,SOCB,10516,279,51.25,1931.89,0.15,0.07,106495878,4427824,98638838,5185717,8689403,1556201,57969767,158164806,0.17,0.17,0.16,7570229,1859103,866474,220398,663736,1750608,8657101,9429332,0.16,0.16,10921070,936774,-1778737,10079107,0.14,2.8,4.16,8.81,5.26,0.34,12.17,5.78,93.55,36.65,54.43,45.2,56874358,649775,538996
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2007,SOCB,11585,331,138.68,4853.93,0.11,0.08,138233599,8405176,133004621,6387810,4756408,1753224,66624231,201382076,0.15,0.15,0.13,10579935,2832817,1544972,273626,820227,2638825,12398533,13412752,0.15,0.15,15431166,1331845,-1246777,15516234,0.14,4.17,6.08,3.58,4.8,0.8,19.12,7.28,86.44,33.08,48.2,47.92,112754579,2103482,1606652
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2008,SOCB,13100,376,135.88,4734.08,0.11,0,166290689,9968673,162522200,8346408,4183234,2008805,77784629,242315634,0.14,0.15,0.13,15895605,3549286,1976002,310972,1004746,3291720,18182579,19444891,0.12,0.12,22124352,1750140,-2287911,21586581,0.12,4.11,5.99,2.57,5.14,0.73,17.86,8.01,90.08,32.1,46.78,48.46,66102644,2141690,1780013
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2009,SOCB,14550,420,173.16,5998.87,0.11,0,188828078,13977248,208073912,9094824,5568605,2304264,81819558,292197734,0.12,0.13,0.11,14235364,5812306,3480790,344320,1423084,5248194,18060474,20047670,0.12,0.12,21183619,3133171,-1073283,23243507,0.11,4.78,7.4,2.68,4.37,0.86,18.03,8.49,86.25,28,43.33,49.33,80966099,3195837,2519527
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2010,SOCB,16475,462,177.4,6326.08,0.11,0,247493806,20582567,257137234,9404642,6424486,3496768,101319779,361953781,0.12,0.13,0.1,20590477,6596900,3614450,396596,1951154,5962200,24601523,27187377,0.11,0.11,29614234,2967068,-1515206,31066096,0.1,5.69,8.32,2.5,3.66,0.81,14.2,8.91,87.51,27.99,40.94,53.28,79617193,3878719,2922650
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2011,SOCB,17863,648,179.12,4937.67,0.1,0.04,240507629,24390455,293937120,5857480,8122689,3208188,108610146,405755454,0.11,0.13,0.1,31918155,7901538,3774786,524281,2353412,6652479,36217222,39819693,0.1,0.1,44557111,4024581,-4542126,44039566,0.1,6.01,10.14,2.76,1.99,0.79,13.12,11.64,90.42,26.77,45.16,43.12,79465728,4219873,3199608
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2012,SOCB,18546,674,138.68,3815.94,0.1,0.04,303059537,26494446,339923668,5914526,9160992,3932788,140928104,484784560,0.11,0.13,0.11,21314411,5421031,2283857,324189,1965958,4574004,23922457,26735442,0.07,0.07,30522623,3123900,-3521163,30125360,0.07,5.47,8.74,2.7,1.74,0.53,9.71,6.53,88.75,29.07,46.5,41.14,79442674,3389918,2571943
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2013,SOCB,18231,732,222.2,5534.16,0.1,0.04,338902132,32039983,391035051,6145215,8839367,5201097,152149935,548386083,0.1,0.13,0.11,28980070,9160563,4026930,454074,2910038,7391042,33461074,38140633,0.11,0.11,43824717,6088734,-6482862,43430589,0.11,5.84,9.45,2.26,1.57,0.74,12.64,9.76,87.82,27.75,44.89,38.92,84676027,5289956,4051008
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2014,SOCB,19130,734,260.62,6792.46,0.1,0.04,440471589,33271267,445693100,6622973,9056833,6672040,197975233,650340373,0.11,0.13,0.12,27139993,10649390,4919584,427552,3276759,8623895,32487129,37789383,0.12,0.11,43984255,7087857,-6985696,44086416,0.12,5.12,7.55,2.03,1.49,0.77,14.98,8.51,85.72,30.44,44.95,35.82,118645600,6297033,4985667
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2015,SOCB,23854,989,267.32,6447.68,0.13,0.16,564583061,42335460,598434475,7517047,10053680,8535310,243699864,850669649,0.12,0.15,0.13,29690259,13881159,6255652,611532,4219992,11087176,36557443,43571418,0.13,0.13,49005228,8191178,-5676332,51520074,0.13,4.98,7.5,1.68,1.26,0.75,15.06,7.93,84.57,28.65,43.16,40.23,153380670,7948656,6376756
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2016,SOCB,25088,1006,246.99,6159.48,0.15,0.46,726021696,44114962,723697408,10064636,14428959,9779500,272903727,1006380635,0.13,0.15,0.14,39165623,17415763,7428662,854142,5249290,13532094,47448427,56581386,0.15,0.15,62559236,10889269,-9199516,64248989,0.14,4.38,6.08,1.99,1.39,0.62,14.05,8.57,88.07,27.12,37.59,45.39,,7667603,6196434
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2017,SOCB,24888,1046,279.07,6640.14,0.12,0.33,859985173,48834010,866885307,11349782,14064106,10348520,325050016,1202283843,0.14,0.16,0.14,47673184,19465340,8500439,931231,6072567,15504237,57104854,67138524,0.15,0.15,78628515,12022492,-14847306,75803701,0.13,4.06,5.68,1.62,1.31,0.58,14.22,9.52,88.57,27.04,37.8,49.89,209627364,8665177,6945586
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2018,SOCB,25416,1062,296.74,7101.54,0.09,0.13,989671155,54551462,988738780,12404892,18802415,10666712,313632182,1313037674,0.15,0.16,0.14,55118154,20890102,8879654,978546,6258722,16116922,64976354,76008256,0.14,0.14,90074018,14300378,-18893635,85480761,0.13,4.15,5.51,1.9,1.25,0.57,13.83,11.15,88.92,23.89,31.69,56.73,227271317,9472505,7541833
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2019,SOCB,26135,1061,327.06,8056.32,0.09,0.1,1114162624,77652981,1116997985,14632136,19496406,10604686,362354622,1489957293,0.14,0.16,0.14,64769417,22019316,9722449,1023773,6510893,17257115,75515639,86788733,0.14,0.14,100747225,16905633,-20131916,97520942,0.12,5.21,6.97,1.75,1.31,0.57,11.01,9.93,88.99,24.32,32.52,53.46,231768657,10732209,8547757
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2020,SOCB,26752,1096,270.02,6590.84,0.09,0.11,1226673942,79646612,1214295916,19055948,21369418,10422121,291967675,1516685712,0.14,0.15,0.13,64890703,23944890,10117321,980093,6595546,17692960,75988117,88835593,0.14,0.13,100687502,20492275,-23317941,97861836,0.12,5.25,6.49,1.76,1.57,0.48,9.07,12.26,90.78,19.25,23.8,66.4,255289755,9026243,7223565
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2021,SOCB,27223,1085,398.24,9991.95,0.11,0.13,1380397799,86329026,1345632643,29103718,13546316,10741232,405321917,1761695792,0.17,0.17,0.16,54184600,25999724,11428468,1222703,6814150,19465321,66835771,80184324,0.15,0.15,101007908,22204984,-29480917,93731975,0.13,4.9,6.25,1.01,2.16,0.62,12.56,11.55,85.55,23.01,29.36,61.79,309372399,13547651,10841271
BIDV,Joint Stock Commercial Bank for Investment and Development of Vietnam,2022,SOCB,28435,1085,647.79,16976.97,0.1,0.13,1473598150,104189995,1483995823,38225891,17622432,10534119,626079442,2120609384,0.15,0.15,0.15,65041035,29569684,12837265,1057770,8662439,22557474,78936070,94610719,0.15,0.14,121110719,20524970,-24015485,117620204,0.12,4.91,7.07,1.19,2.58,0.87,17.68,8.96,80.44,29.52,42.49,46.46,310306896,23009485,18420014
BAB,BacA Joint Stock Commercial Bank,2011,JSCB,,,,,,,9343055,3244340,16864244,146466,107333,184220,8689745,25738209,0,0.01,0.01,3373645,402115,117793,66720,196497,381010,3558158,3775760,0.01,0.01,3985799,24403,-35093,3975109,0.01,12.61,34.72,0.64,0.87,0.59,4.69,7.04,94.99,33.76,93.01,-11.72,,199349,152206
BAB,BacA Joint Stock Commercial Bank,2012,JSCB,,,,,,,29028750,3146988,22323080,266935,1263767,188292,11226911,33738283,0.01,0.01,0.01,4115566,632036,201786,100089,293820,595695,4417441,4747602,0.01,0.01,4801657,112058,-120468,4793247,0.01,9.33,10.84,5.66,1.2,0.1,1.1,6.11,99.05,33.28,38.68,64.64,,45645,34582
BAB,BacA Joint Stock Commercial Bank,2013,JSCB,,,,,,,42407603,3311896,29513081,268368,684067,259695,20534959,50307735,0.01,0.01,0.01,3764375,710201,230917,150385,300184,681486,4145677,4474576,0.01,0.01,4994014,101746,-367942,4727818,0.01,6.58,7.81,2.32,0.91,0.38,5.81,5.99,94.64,40.82,48.42,46.3,,253242,192295
BAB,BacA Joint Stock Commercial Bank,2014,JSCB,,,,,,,46312474,4122044,36438223,353037,784925,240258,20503476,57181957,0.01,0.01,0.01,3476388,586895,198537,116953,248049,563539,3791878,4063283,0.01,0.01,4569430,103056,-260073,4412413,0.01,7.21,8.9,2.15,0.97,0.48,6.65,5.33,92.09,35.86,44.27,45.8,,349130,274075
BAB,BacA Joint Stock Commercial Bank,2015,JSCB,,,,,,,52895602,5011667,41754607,482442,292820,213381,21492138,63460126,0.01,0.01,0.01,3654073,618936,239967,123467,216107,579541,4017507,4273009,0.01,0.01,4737688,161083,-173057,4725714,0.01,7.9,9.47,0.7,1.16,0.57,7.19,5.04,90.42,33.87,40.63,55.85,,452705,360408
BAB,BacA Joint Stock Commercial Bank,2016,JSCB,,,,,,,59156703,5807109,48102315,443979,390188,658579,27177254,75938148,0.01,0.01,0.01,4303825,742218,335924,128097,240945,704966,4767846,5046043,0.01,0.01,5637737,98938,-64007,5672668,0.01,7.65,9.82,0.81,0.92,0.66,8.62,4.91,88.95,35.79,45.94,47.76,,626625,500686
BAB,BacA Joint Stock Commercial Bank,2017,JSCB,1616,,372.82,,0.01,,63415099,6374612,55487573,612934,351612,655601,35639027,91782201,0.01,0.01,0.01,5154240,803996,367117,33848,347938,748903,5555205,5958236,0.01,0.01,6812157,185167,-296423,6700901,0.01,6.95,10.05,0.63,1.1,0.66,9.45,4.65,88.92,38.83,56.2,30.27,14660662,742665,602472
BAB,BacA Joint Stock Commercial Bank,2018,JSCB,2042,36,331.64,18811.39,0.01,0,72534422,7082456,63979415,593679,488075,654756,32394890,97029061,0.01,0.01,0.01,5889353,905520,496096,29542,354219,879857,6414991,6794873,0.01,0.01,7588025,323726,-274412,7637339,0.01,7.3,9.76,0.76,0.93,0.7,9.56,5.24,88.97,33.39,44.66,45.33,10104851,842466,677210
BAB,BacA Joint Stock Commercial Bank,2019,JSCB,2195,41,341.44,18279.41,0.01,0,76163271,7814985,72933312,654745,500026,671020,34285437,107889769,0.01,0.01,0.01,6969579,1145746,631317,31777,440498,1103592,7632673,8115325,0.01,0.01,8936134,267985,-154901,9049218,0.01,7.24,10.26,0.69,0.9,0.69,9.59,5.74,89.68,31.78,45.02,43.46,20796236,933893,749456
BAB,BacA Joint Stock Commercial Bank,2020,JSCB,2512,45,233.99,13062.09,0.01,0,86442223,8363582,79440423,821783,628000,726014,37022956,117189393,0.01,0.01,0.01,7793519,1288207,723402,32459,484528,1240389,8549380,9081726,0.02,0.01,9824590,246275,-254326,9816539,0.01,7.14,9.68,0.79,1.03,0.5,7.03,5.49,92.51,31.59,42.83,47.96,20277381,734813,587794
